DCA License Number,License Type,License Expiration Date,License Status,License Creation Date,Industry,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code,Community Board,Council District,BIN,BBL,NTA,Census Tract,Detail,Longitude,Latitude,Location
2061414-DCA,Business,12/31/2021,Active,11/22/2017,Laundries,"KOUTSINSKI, VICTOR",ONE STOP @ ATELIEVICTOR,466,COURT ST,,BROOKLYN,NY,11231,7188553600,Brooklyn,3,306,39,3005420,3003710042,BK33,65,Laundry Type: Retail Laundry,-73.99796662922724,40.67809308091937,"(40.67809308091937, -73.99796662922724)"
2064153-DCA,Business,12/31/2021,Active,12/29/2017,Laundries,BROOKLYN CLEANERS GROUP INC,BIG APPLE CLEANERS,472,COURT ST,,BROOKLYN,NY,11231,917-838-0111,Brooklyn,3,306,39,3341730,3003740130,BK33,65,Laundry Type: Retail Laundry,-73.9981288756522,40.67775822125657,"(40.67775822125657, -73.9981288756522)"
2058170-DCA,Business,11/28/2019,Inactive,09/13/2017,Tow Truck Company,RED HOOK RECOVERY INC,,12-14,COLES ST,,BROOKLYN,NY,11231,3472085793,Brooklyn,3,306,38,3000000,3005130012,BK33,59,"Active Plate Numbers:  7066, 7066, 7066, 7066, 7066, 7066, 7066",-74.00484919811255,40.6796547728716,"(40.6796547728716, -74.00484919811255)"
2064846-DCA,Business,12/31/2021,Active,01/11/2018,Laundries,K LAUNDRY ROOM INC.,,286,SMITH ST,,BROOKLYN,NY,11231,7185968594,Brooklyn,3,306,39,3007028,3004280034,BK33,75,Laundry Type: Retail Laundry,-73.99362190042459,40.68208382231325,"(40.68208382231325, -73.99362190042459)"
2061483-DCA,Business,12/31/2021,Active,11/22/2017,Laundries,XIU HUA CHEN,NEW NICE BUBBLE LAUNDRY,510,COURT ST,,BROOKLYN,NY,11231,,Brooklyn,3,306,39,3005636,3003790030,BK33,65,Laundry Type: Retail Laundry,-73.99881029311943,40.676336437289045,"(40.676336437289045, -73.99881029311943)"
1362417-DCA,Business,12/31/2021,Active,07/14/2010,Tobacco Retail Dealer,"SMITH-UNION MEAT MARKET, INC.",,353,UNION ST,,BROOKLYN,NY,11231,718-624-0699,Brooklyn,3,306,39,3323348,3004280038,BK33,75,,-73.99420601682293,40.68175997004558,"(40.68175997004558, -73.99420601682293)"
2015487-1-DCA,Business,12/31/2021,Active,11/13/2014,Tobacco Retail Dealer,NEW CARROLL GROCERY & DELI CORP,,142,CARROLL ST,,BROOKLYN,NY,11231,718-522-3257,Brooklyn,3,306,39,3004910,3003550003,BK33,65,,-74.00009734799134,40.68204831699805,"(40.68204831699805, -74.00009734799134)"
1316170-DCA,Business,03/15/2020,Active,05/04/2009,Sidewalk Cafe,MARCO POLO TAKE OUT LLC,,347,COURT ST,,BROOKLYN,NY,11231,7182431000,Brooklyn,3,306,39,3007222,3004350008,BK33,75,"Sidewalk Cafe Type: Unenclosed, Square Feet: 99, Tables: 4, Chairs: 8",-73.99595103349318,40.682232145558,"(40.682232145558, -73.99595103349318)"
2064415-DCA,Business,12/31/2021,Active,01/04/2018,Laundries,"ELEGANT DRY CLEANING, CORP.",,314,SACKETT ST,,BROOKLYN,NY,11231,718-222-0707,Brooklyn,3,306,39,3007010,3004280009,BK33,75,Laundry Type: Retail Laundry,-73.99514335471265,40.68290183875479,"(40.68290183875479, -73.99514335471265)"
2065654-1-DCA,Business,12/31/2021,Active,02/02/2018,Tobacco Retail Dealer,WILLY DELI GROCERY CORP,,506,COURT ST,,BROOKLYN,NY,11231,718-237-0968,Brooklyn,3,306,39,3005592,3003770037,BK33,65,,-73.9986913175301,40.676586210466475,"(40.676586210466475, -73.9986913175301)"
2033601-DCA,Business,11/22/2019,Inactive,02/23/2016,Sidewalk Cafe,345 COURT ST CORP,MARCO POLO RISTORANTE,345,COURT ST,,BROOKLYN,NY,11231,,Brooklyn,3,306,39,3007223,3004350009,,,"Sidewalk Cafe Type: Enclosed, Square Feet: 420, Tables: 10, Chairs: 30",-73.99592218603972,40.68228978476067,"(40.68228978476067, -73.99592218603972)"
2014693-1-DCA,Business,12/31/2021,Active,10/20/2014,Tobacco Retail Dealer,CARROLL GARDENS GOURMET DELI INC,,531,HENRY ST,,BROOKLYN,NY,11231,347-457-6862,Brooklyn,3,306,39,3004309,3003380001,BK33,67,,-73.99966828815568,40.68357166516453,"(40.68357166516453, -73.99966828815568)"
2062348-DCA,Business,12/31/2021,Active,12/04/2017,Laundries,CARROL GARDENS WASH-N-DRY CORP.,,425,COURT ST,,BROOKLYN,NY,11231,9144189497,Brooklyn,3,306,39,3007926,3004630001,BK33,77,Laundry Type: Retail Laundry,-73.99760247176896,40.67880122552869,"(40.67880122552869, -73.99760247176896)"
2062479-DCA,Business,12/31/2021,Active,12/05/2017,Laundries,RED HOOK LAUNDROMAT #1 INC,,282,VAN BRUNT ST,,BROOKLYN,NY,11231,,Brooklyn,3,306,38,3008364,3005290027,BK33,59,Laundry Type: Retail Laundry,-74.01005174176277,40.679794419436355,"(40.679794419436355, -74.01005174176277)"
2062092-DCA,Business,12/31/2021,Active,11/30/2017,Laundries,"UNION ST SUPERWASH CENTER I, INC",,134,UNION ST,,BROOKLYN,NY,11231,,Brooklyn,3,306,39,3004451,3003420019,BK33,51,Laundry Type: Retail Laundry,-74.00221022981817,40.68415628083097,"(40.68415628083097, -74.00221022981817)"
2065714-DCA,Business,12/31/2021,Active,02/05/2018,Laundries,SMITH LUCKY MEE MAY INC,,313,SMITH ST,,BROOKLYN,NY,11231,9174889317,Brooklyn,3,306,39,3007264,3004360006,BK33,75,Laundry Type: Retail Laundry,-73.99410149522419,40.6813427592863,"(40.6813427592863, -73.99410149522419)"
2062774-DCA,Business,12/31/2021,Active,12/07/2017,Laundries,JS NOBLE CLEANERS INC.,,284,COURT ST,,BROOKLYN,NY,11231,7182370093,Brooklyn,3,306,39,3004037,3003260054,BK33,67,Laundry Type: Retail Laundry,-73.99496297053821,40.68432911243504,"(40.68432911243504, -73.99496297053821)"
1309817-DCA,Business,12/31/2021,Active,02/23/2009,Tobacco Retail Dealer,BOLLA OPERATING CORP.,KINGS HAMILTON AVE. MOBIL,375,HAMILTON AVE,,BROOKLYN,NY,11231,718-377-2497,Brooklyn,3,306,39,3008191,3004820001,BK33,77,,-73.9991852694387,40.67319367323885,"(40.67319367323885, -73.9991852694387)"
2060275-DCA,Business,12/31/2021,Active,11/03/2017,Laundries,666 LAUNDROMAT INC,SUPER LAUNDROMAT,355,SMITH ST,,BROOKLYN,NY,11231,9179635857,Brooklyn,3,306,39,3007555,3004500005,BK33,77,Laundry Type: Retail Laundry,-73.99516521493679,40.67977005395693,"(40.67977005395693, -73.99516521493679)"
2042466-1-DCA,Business,12/31/2021,Active,08/16/2016,Tobacco Retail Dealer,CARROLL GARDENS DELI & GRILL CORP.,FOOD U DESIRE,301,SMITH ST,,BROOKLYN,NY,11231,718-852-6035,Brooklyn,3,306,39,3007052,3004290001,BK33,75,,-73.9938058083609,40.68177916260592,"(40.68177916260592, -73.9938058083609)"
2078195-DCA,Business,10/31/2021,Active,09/14/2018,Car Wash,MFD-NY LLC,,354,HAMILTON AVE,,BROOKLYN,NY,11231,3472107272,Brooklyn,3,306,38,3331445,3005520025,BK33,53,,-73.99997476469494,40.673953978890815,"(40.673953978890815, -73.99997476469494)"
1338176-DCA,Business,11/01/2020,Active,10/19/2012,Pedicab Business,"SOLLITTO, JOHN",,369,COLUMBIA ST,,BROOKLYN,NY,11231,9172046789,Brooklyn,3,306,38,3008269,3005130005,,,Active Sticker Numbers:  1818,-74.00538277045369,40.679410464317804,"(40.679410464317804, -74.00538277045369)"
1092189-DCA,Business,12/31/2021,Active,08/24/2001,Tobacco Retail Dealer,LEMON TREE FARM INC.,,312,COURT ST,,BROOKLYN,NY,11231,718-624-7581,Brooklyn,3,306,39,3004207,3003330034,BK33,67,,-73.99536685678606,40.683486484435264,"(40.683486484435264, -73.99536685678606)"
2061225-DCA,Business,12/31/2021,Active,11/20/2017,Laundries,KT LAUNDROMAT INC.,,500,HENRY ST,,BROOKLYN,NY,11231,917-226-3962,Brooklyn,3,306,39,3004117,3003310030,BK33,63,Laundry Type: Retail Laundry,-73.99936541439403,40.68424687777694,"(40.68424687777694, -73.99936541439403)"
1363615-DCA,Business,12/31/2021,Active,07/22/2010,Tobacco Retail Dealer,PRESIDENT FOOD CORP.,,247,COLUMBIA ST,,BROOKLYN,NY,11231,718-855-1714,Brooklyn,3,306,39,3004694,3003480010,BK33,51,,-74.00337480968061,40.68361553250527,"(40.68361553250527, -74.00337480968061)"
2013448-1-DCA,Business,12/31/2021,Active,09/16/2014,Tobacco Retail Dealer,QIAO FENG DELI INC.,,353,SMITH ST,,BROOKLYN,NY,11231,917-370-2008,Brooklyn,3,306,39,3007556,3004500006,BK33,77,,-73.99509309969876,40.679879841834826,"(40.679879841834826, -73.99509309969876)"
2064973-DCA,Business,12/31/2019,Inactive,01/16/2018,Laundries,"34 LAUNDROMAT, INC.",,34,LORRAINE ST,,BROOKLYN,NY,11231,7184039241,Brooklyn,3,306,38,3329546,3005790001,BK33,53,Laundry Type: Retail Laundry,-74.00839264712101,40.67479357396412,"(40.67479357396412, -74.00839264712101)"
2063079-DCA,Business,12/31/2019,Inactive,12/12/2017,Laundries,KELLY DRY CLEANER INC.,,534,HENRY ST,,BROOKLYN,NY,11231,,Brooklyn,3,306,39,3004493,3003430032,BK33,63,Laundry Type: Retail Laundry,-74.0000108165824,40.68290468601848,"(40.68290468601848, -74.0000108165824)"
2012423-1-DCA,Business,12/31/2021,Active,08/25/2014,Tobacco Retail Dealer,COURT STREET CORNER SHOP INC.,,304,COURT ST,,BROOKLYN,NY,11231,917-771-8762,Brooklyn,3,306,39,3004045,3003260064,BK33,67,,-73.99519376384491,40.68384878723601,"(40.68384878723601, -73.99519376384491)"
1450723-DCA,Business,12/31/2021,Active,11/21/2012,Tobacco Retail Dealer,124 UNION STOP 1 FOOD MART INC.,,124,UNION ST,,BROOKLYN,NY,11231,718-254-0633,Brooklyn,3,306,39,3004446,3003420014,BK33,51,,-74.00245901851402,40.68422763984997,"(40.68422763984997, -74.00245901851402)"
