bbl,address,lotarea,zonedist1,landuse,overlay1,max_height,maxComm,maxResi,WAREHOUSES,INDUSTRIAL/RETAIL,MAKERS/OFFICE,HOUSING UNITS,RESIDENTS (PPL),current_height,current_RESIDENTS (PPL),current_WAREHOUSES,current_INDUSTRIAL/RETAIL,current_OFFICE,total_JOBS
3005130037,29 LUQUER STREET,2500.0,M1-1,Multi-Family Walk-Up Buildings,,30.0,2500.0,0.0,0.0,4.0,12.0,0.0,0.0,45.0,8.0,0.0,0.0,0.0,0.0
3005310033,84 PIONEER STREET,1667.0,R5,One & Two Family Buildings,,30.0,0.0,2083.75,0.0,0.0,0.0,2.0,5.0,22.0,5.0,0.0,0.0,0.0,0.0
3005970028,VAN BRUNT STREET,1725.0,M1-1/R5,Vacant Land,,60.0,1725.0,2156.25,0.0,2.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3005770022,WOLCOTT STREET,2000.0,R5,Vacant Land,,30.0,0.0,2500.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
3005550001,CONOVER STREET,7500.0,M2-1,Parking Facilities,,60.0,15000.0,0.0,5.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3005870001,VAN BRUNT STREET,1500.0,R5,Vacant Land,C1-3,30.0,1500.0,1875.0,0.0,2.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3005460007,297 VAN BRUNT STREET,1219.0,R5,Vacant Land,C1-3,30.0,1219.0,1523.75,0.0,2.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
3005760051,88 DIKEMAN STREET,2000.0,R5,Multi-Family Walk-Up Buildings,,30.0,0.0,2500.0,0.0,0.0,0.0,3.0,8.0,33.0,8.0,0.0,0.0,0.0,0.0
3005870052,106 COFFEY STREET,2200.0,R5,Vacant Land,C1-3,30.0,2200.0,2750.0,0.0,3.0,11.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
3005390008,769 HICKS STREET,2500.0,R5,Multi-Family Walk-Up Buildings,C1-2,30.0,2500.0,3125.0,0.0,4.0,12.0,4.0,10.0,22.0,8.0,0.0,0.0,0.0,0.0
3005800016,76 LORRAINE STREET,10500.0,R5,Public Facilities & Institutions,C1-3,30.0,10500.0,13125.0,3.0,17.0,52.0,17.0,46.0,22.0,0.0,0.0,35.0,0.0,35.0
3006060005,20 BEARD STREET,74432.0,M1-1,Parking Facilities,,30.0,74432.0,0.0,24.0,124.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
